team_size,proj_age,n_stars,computed_n_stars,n_forks,computed_n_forks,n_src_loc,computed_n_src_loc,ci_integration,merged_pr_by_core_developer,rejected_pr_by_core_developers,merged_pr_by_ext_developer,rejected_pr_by_ext_developer
2,92,7294,3.862995529,3871,3.587879264,25335,4.40372948,0,0,0,0,163
8,98,256,2.409087369,144,2.159867847,52659,4.721476731,1,150,0,273,179
59,86,2640,3.421686172,2713,3.433529826,40387,4.606246971,1,17,0,559,233
10,84,9339,3.970323626,3700,3.568260409,15718,4.196411099,0,129,0,220,240
4,92,10341,4.014583536,4321,3.635634517,7388,3.868556278,1,3,0,149,112
11,94,10536,4.022696371,2463,3.391552567,37459,4.573561976,1,88,0,434,77
3,92,3000,3.477193631,1789,3.252731703,89908,4.953800752,1,39,0,149,523
47,62,568,2.754730469,91,1.961421094,41864,4.621845909,1,136,0,494,123
15,102,327,2.515211304,214,2.331427297,141541,5.150883794,1,864,0,570,205
20,78,1050,3.021396057,492,2.692406235,156145,5.193529473,1,50,0,603,362
19,82,6210,3.793126566,2502,3.398374086,97131,4.987360096,1,114,0,675,85
2,68,1558,3.192706807,290,2.463146137,9037,3.95604831,0,16,0,231,0
42,112,1595,3.202896809,438,2.641969598,43448,4.637974788,1,7,0,169,125
6,106,395,2.597146488,207,2.317018101,18050,4.256489236,1,0,0,146,78
46,117,1813,3.25851756,1552,3.191031609,27749,4.443255162,0,129,0,301,217
25,76,6900,3.83888056,2554,3.407305907,8893,3.949072709,1,5,0,239,39
13,211,137,2.138302698,485,2.686189234,26113,4.416865084,0,35,0,699,152
14,93,6860,3.836355769,2932,3.467238021,51638,4.712973618,1,313,0,876,272
30,198,404,2.606918526,830,2.919339637,172365,5.236450344,1,363,0,1169,564
10,60,6,0.812913357,8,0.929418926,84514,4.926931226,0,1,0,763,45
67,105,36271,4.559565516,12261,4.088543602,1246262,6.095609527,0,5869,0,7081,4893
10,91,608,2.784260583,1067,3.028367884,43476,4.638254575,1,0,0,282,499
12,189,210,2.3232521,118,2.07371835,351745,5.54622855,1,595,0,698,123
20,90,53,1.728353782,72,1.860338007,30545,4.484947239,0,352,0,434,120
30,88,1292,3.111430552,1178,3.071329587,646091,5.810294027,1,981,0,1802,490
25,94,644,2.809222922,701,2.846027675,1266734,6.102685599,0,33,0,1813,342
55,127,7754,3.8895538,2356,3.372267444,0,-0.301029996,1,432,0,2911,844
24,160,2377,3.376120526,929,2.968249394,53123,4.72528668,1,177,0,494,299
15,102,329,2.517855419,128,2.108903128,23246,4.366357575,0,4,0,370,65
8,129,89,1.951823035,25,1.40654018,40473,4.607170762,0,120,0,499,28
45,53,1953,3.290813416,229,2.36078269,46496,4.667420263,1,247,0,679,179
5,78,81,1.911157609,42,1.62838893,22203,4.346421439,1,0,0,199,0
6,60,172,2.236789099,109,2.039414119,33415,4.523947964,1,17,0,485,98
10,101,7231,3.859228391,2881,3.459618624,28850,4.460153344,1,110,0,375,264
9,215,7139,3.853667798,2719,3.434489063,30775,4.488205118,1,45,0,385,384
6,75,21,1.33243846,8,0.929418926,5600,3.748226802,0,2,0,414,0
10,147,1405,3.14783085,715,2.854609638,57666,4.760923593,1,16,0,160,138
2,138,153,2.18610838,68,1.835690571,23214,4.365759334,1,59,0,406,146
11,97,416,2.619615006,390,2.591621038,29926,4.476055928,1,24,0,214,122
6,65,18,1.267171728,15,1.190331698,70081,4.845603389,0,10,0,505,0
21,78,183,2.263636069,724,2.86003839,193833,5.287428838,1,0,0,1113,484
37,64,540,2.732795698,217,2.337459261,23907,4.378534164,1,19,0,850,123
24,123,16666,4.221844407,7336,3.865488922,259459,5.414069577,0,278,0,339,3529
22,89,29390,4.468206974,6710,3.826754881,59932,4.777662394,1,436,0,1161,351
8,138,17,1.243038049,32,1.511883361,100793,5.003432526,0,164,0,569,0
19,68,16109,4.207082061,3907,3.591898987,9558,3.980389744,1,172,0,268,168
58,75,8228,3.915320673,2794,3.446304114,595623,5.774971824,1,338,0,5164,2827
26,98,30106,4.47866027,5736,3.758646998,20428,4.310236479,1,163,0,485,246
17,104,263,2.42078062,162,2.210853365,95587,4.980401103,1,48,0,314,73
4,98,4602,3.662993797,1555,3.191870015,12301,4.089958071,1,5,0,120,247
8,77,27,1.439332694,18,1.267171728,79949,4.902815752,0,22,0,288,0
16,98,357,2.553276046,121,2.084576278,69202,4.840121784,1,0,0,397,130
13,69,187,2.273001272,79,1.900367129,158614,5.200342887,0,0,0,119,302
33,83,108,2.035429738,97,1.989004616,224323,5.350874772,1,1,0,0,1007
34,220,183,2.263636069,233,2.368286885,153158,5.185141104,0,596,0,496,309
35,66,335,2.525692525,314,2.49762065,26725,4.426925839,1,30,0,666,92
15,65,87,1.942008053,95,1.980003372,91673,4.962243813,0,340,0,692,254
6,81,2565,3.409172019,1214,3.084397519,200015,5.301063652,1,51,0,1414,195
14,120,214,2.331427297,58,1.767155866,197486,5.295537413,1,163,0,853,302
