n_non_bug_issues,proj_age,n_stars,computed_n_stars,n_forks,computed_n_forks,n_src_loc,computed_n_src_loc,ci_integration,n_core_bugs,n_user_bugs
0,92,7294,3.862995529,3871,3.587879264,25335,4.40372948,0,222,154
1,98,256,2.409087369,144,2.159867847,52659,4.721476731,1,304,0
13,86,2640,3.421686172,2713,3.433529826,40387,4.606246971,1,0,398
0,84,9339,3.970323626,3700,3.568260409,15718,4.196411099,0,327,50
1,92,10341,4.014583536,4321,3.635634517,7388,3.868556278,1,236,0
0,94,10536,4.022696371,2463,3.391552567,37459,4.573561976,1,646,156
2,92,3000,3.477193631,1789,3.252731703,89908,4.953800752,1,684,0
0,62,568,2.754730469,91,1.961421094,41864,4.621845909,1,550,0
1,102,327,2.515211304,214,2.331427297,141541,5.150883794,1,1570,34
0,78,1050,3.021396057,492,2.692406235,156145,5.193529473,1,2768,609
12,82,6210,3.793126566,2502,3.398374086,97131,4.987360096,1,1238,0
2,68,1558,3.192706807,290,2.463146137,9037,3.95604831,0,378,21
1,112,1595,3.202896809,438,2.641969598,43448,4.637974788,1,561,0
0,106,395,2.597146488,207,2.317018101,18050,4.256489236,1,381,79
2,117,1813,3.25851756,1552,3.191031609,27749,4.443255162,0,546,122
3,76,6900,3.83888056,2554,3.407305907,8893,3.949072709,1,180,11
0,211,137,2.138302698,485,2.686189234,26113,4.416865084,0,1093,44
7,93,6860,3.836355769,2932,3.467238021,51638,4.712973618,1,875,159
19,198,404,2.606918526,830,2.919339637,172365,5.236450344,1,2452,879
0,60,6,0.812913357,8,0.929418926,84514,4.926931226,0,914,53
208,105,36271,4.559565516,12261,4.088543602,1246262,6.095609527,0,4741,5894
0,91,608,2.784260583,1067,3.028367884,43476,4.638254575,1,1067,0
21,189,210,2.3232521,118,2.07371835,351745,5.54622855,1,6266,745
50,90,53,1.728353782,72,1.860338007,30545,4.484947239,0,448,530
23,88,1292,3.111430552,1178,3.071329587,646091,5.810294027,1,2022,0
21,94,644,2.809222922,701,2.846027675,1266734,6.102685599,0,0,0
194,127,7754,3.8895538,2356,3.372267444,0,-0.301029996,1,397,1353
38,160,2377,3.376120526,929,2.968249394,53123,4.72528668,1,1873,5933
0,102,329,2.517855419,128,2.108903128,23246,4.366357575,0,347,21
1,129,89,1.951823035,25,1.40654018,40473,4.607170762,0,552,32
1,53,1953,3.290813416,229,2.36078269,46496,4.667420263,1,626,44
0,78,81,1.911157609,42,1.62838893,22203,4.346421439,1,191,45
1,60,172,2.236789099,109,2.039414119,33415,4.523947964,1,487,227
7,101,7231,3.859228391,2881,3.459618624,28850,4.460153344,1,314,0
0,215,7139,3.853667798,2719,3.434489063,30775,4.488205118,1,560,92
0,75,21,1.33243846,8,0.929418926,5600,3.748226802,0,219,55
7,147,1405,3.14783085,715,2.854609638,57666,4.760923593,1,702,0
2,138,153,2.18610838,68,1.835690571,23214,4.365759334,1,617,0
14,97,416,2.619615006,390,2.591621038,29926,4.476055928,1,1454,708
0,65,18,1.267171728,15,1.190331698,70081,4.845603389,0,0,111
0,78,183,2.263636069,724,2.86003839,193833,5.287428838,1,652,0
3,64,540,2.732795698,217,2.337459261,23907,4.378534164,1,536,185
33,123,16666,4.221844407,7336,3.865488922,259459,5.414069577,0,2129,2535
26,89,29390,4.468206974,6710,3.826754881,59932,4.777662394,1,583,364
0,138,17,1.243038049,32,1.511883361,100793,5.003432526,0,2700,163
4,68,16109,4.207082061,3907,3.591898987,9558,3.980389744,1,226,8
63,75,8228,3.915320673,2794,3.446304114,595623,5.774971824,1,184,558
7,98,30106,4.47866027,5736,3.758646998,20428,4.310236479,1,204,15
0,104,263,2.42078062,162,2.210853365,95587,4.980401103,1,416,22
1,98,4602,3.662993797,1555,3.191870015,12301,4.089958071,1,130,0
0,77,27,1.439332694,18,1.267171728,79949,4.902815752,0,571,3
0,98,357,2.553276046,121,2.084576278,69202,4.840121784,1,985,0
0,69,187,2.273001272,79,1.900367129,158614,5.200342887,0,1104,131
0,83,108,2.035429738,97,1.989004616,224323,5.350874772,1,233,0
4,220,183,2.263636069,233,2.368286885,153158,5.185141104,0,2519,30
0,66,335,2.525692525,314,2.49762065,26725,4.426925839,1,517,110
4,65,87,1.942008053,95,1.980003372,91673,4.962243813,0,658,0
10,81,2565,3.409172019,1214,3.084397519,200015,5.301063652,1,0,64
0,120,214,2.331427297,58,1.767155866,197486,5.295537413,1,2676,0
