tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
10350117,SpoutDev/Spout,false,,,java,,master,1,fe182f4016c13f846f62a1838cbf88fa389188ec,build_found,4b555eab4e58af3d3299d2a7953320248b03af39,10347994,2013-08-19T03:08:16,19,fe182f4016c13f846f62a1838cbf88fa389188ec,1,fe182f4016c13f846f62a1838cbf88fa389188ec,,fe182f4016c13f846f62a1838cbf88fa389188ec,,0,,151,10,0,0,9,0,0,9,0,0,46,67078,205.402665553535,14.9825576194878,26.7449834521005,true,,2013-08-19T03:10:21,2013-08-19T03:11:07,passed,315,[10350118],275,10350118,java,ok,,java-maven,junit,true,false,11,0,11,0,,20.33,,true
8148883,SpoutDev/Spout,false,,,java,,master,1,6a4baf858358b3dcc1e90fcbc8a329a51af63b32,build_found,43a631bb9a9aeafb766d91867e236fdc3e0c8040,8147379,2013-06-17T04:30:35,13,6a4baf858358b3dcc1e90fcbc8a329a51af63b32,1,6a4baf858358b3dcc1e90fcbc8a329a51af63b32,,6a4baf858358b3dcc1e90fcbc8a329a51af63b32,,0,,3,0,0,0,1,0,0,1,0,0,204,26451,7.75017957733167,0.378057540357642,0.567086310536464,true,,2013-06-17T04:32:05,2013-06-17T04:32:35,passed,293,[8148884],10,8148884,java,ok,,java-maven,junit,true,false,7,0,7,0,,2.16,,true
10051736,SpoutDev/Spout,false,,,java,,master,1,10c9262518f4f66e7b96eb9f35e19931e07e6168,build_found,b0fc3d502b9abaca25a506ac4f8ef1db81dc079f,10051580,2013-08-10T05:17:21,18,10c9262518f4f66e7b96eb9f35e19931e07e6168,1,10c9262518f4f66e7b96eb9f35e19931e07e6168,,10c9262518f4f66e7b96eb9f35e19931e07e6168,,0,,9,0,0,0,3,0,0,3,0,0,22,66965,205.928470096319,14.7241096094975,25.9687896662436,true,,2013-08-10T05:17:13,2013-08-10T05:17:39,passed,283,[10051737],234,10051737,java,ok,,java-maven,junit,true,false,11,0,11,0,,15.69,,true
8838780,SpoutDev/Spout,false,,,java,,meshes,2,149650c5d919ffbb7846696d9aa71d95208a4d04#5463b8f87d835f29ccb1c4feedad7ffad49380f6,merge_found,,,2013-07-08T03:31:52,14,5463b8f87d835f29ccb1c4feedad7ffad49380f6,1,5463b8f87d835f29ccb1c4feedad7ffad49380f6,,5463b8f87d835f29ccb1c4feedad7ffad49380f6,,0,,240,0,0,0,10,0,0,9,0,1,933,26777,20.3532882697838,0.746909661276469,1.19505545804235,true,,2013-07-08T07:43:42,2013-07-08T07:44:09,failed,155,[8838781],35,8838781,java,broken,,java-maven,,false,,,,,,,0.0,,false
9556583,SpoutDev/Spout,false,,,java,,master,1,c94bba807a772202379b4e3d48d471462ddd0283,build_found,a6ae59e19bfa026a86816395116422df3dc38afa,9542135,2013-07-27T17:41:42,17,c94bba807a772202379b4e3d48d471462ddd0283,1,c94bba807a772202379b4e3d48d471462ddd0283,,c94bba807a772202379b4e3d48d471462ddd0283,,0,,10,0,0,0,4,0,0,4,0,0,4,67053,206.150358671499,14.7495264939675,25.9794490925089,true,,2013-07-27T17:42:51,2013-07-27T17:43:41,passed,210,[9556584],115,9556584,java,ok,,java-maven,,false,,,,,,,0.0,0.0,true
9831847,SpoutDev/Spout,false,,,java,,master,2,38d416d2d786d6e41b85142bcdeeb967f81ae2a3#61bc9089bdf39f90fde1be1b0f9fd88340a8f79c,merge_found,,,2013-08-04T14:48:21,18,61bc9089bdf39f90fde1be1b0f9fd88340a8f79c,1,61bc9089bdf39f90fde1be1b0f9fd88340a8f79c,,61bc9089bdf39f90fde1be1b0f9fd88340a8f79c,,0,,0,13,0,0,4,0,0,2,0,2,9,67157,205.697097845347,14.682013788585,25.8945456169871,true,,2013-08-04T15:01:22,2013-08-04T15:02:41,passed,280,[9831848],193,9831848,java,ok,,java-maven,,false,,,,,,,0.0,0.0,true
10871912,SpoutDev/Spout,false,,,java,,master,7,790d2afd8ff03385f885120ec0a49e13a2f5f8fc#fd10157929d982007584ded1584b1f95615605da#c8351fdb0f2e80c14e199e26d9e96869fc31e6c3#04914a0fc594868ed719834cf91b1581f8d8c07b#b0097718666fbd4b2347f7cd3e841ba004040303#64882963bcca4998ecad4d91a1c78ae5a66a2146#e96aa1b2bfd4473d57ef82e542527cebe7f4d55f,merge_found,,,2013-07-30T18:54:04,18,e96aa1b2bfd4473d57ef82e542527cebe7f4d55f,1,e96aa1b2bfd4473d57ef82e542527cebe7f4d55f,,e96aa1b2bfd4473d57ef82e542527cebe7f4d55f,,0,,6121,2557,0,22,160,0,0,181,0,1,114,64925,183.919907585676,12.9380053908356,25.6911821332307,true,,2013-09-01T20:36:28,2013-09-01T20:37:15,passed,451,[10871913],299,10871913,java,ok,,java-maven,junit,true,false,11,0,11,0,,15.09,,true
13440186,SpoutDev/Spout,false,,,java,,master,1,a8195782ff791c2233b173c2051b2f9708ec385e,build_found,9a7d046b2093ad4eeb5c9ad631133aa16361da68,13093646,2013-11-03T17:56:14,16,a8195782ff791c2233b173c2051b2f9708ec385e,1,a8195782ff791c2233b173c2051b2f9708ec385e,,a8195782ff791c2233b173c2051b2f9708ec385e,,0,,7,0,0,0,1,0,0,1,0,0,20,65190,183.433041877589,12.9007516490259,25.6174259855806,true,,2013-11-03T17:56:12,2013-11-03T17:57:07,passed,319,[13440187],383,13440187,java,ok,,java-maven,junit,true,false,11,0,11,0,,18.32,,true
9256727,SpoutDev/Spout,false,,,java,,master,1,58463a9b3b7304ae823db48e2db99a06172c596c,build_found,0a1558471dc3d26dda7f950dc37d7f600ff048fd,9242865,2013-07-19T06:40:40,17,58463a9b3b7304ae823db48e2db99a06172c596c,1,58463a9b3b7304ae823db48e2db99a06172c596c,,58463a9b3b7304ae823db48e2db99a06172c596c,,0,,15,0,0,0,1,0,0,1,0,0,57,26968,23.1756155443489,0.81578166716108,1.74280628893503,false,,2013-07-19T06:49:06,2013-07-19T06:49:31,failed,165,[9256728],86,9256728,java,broken,,java-maven,,false,,,,,,,0.0,,false
9927638,SpoutDev/Spout,false,,,java,,master,1,c45883ce58ac72d91dd8905b9785b3e7a535f6d0,build_found,2561076b33876867af99f26e205d438408354c6a,9926950,2013-08-07T02:56:53,18,c45883ce58ac72d91dd8905b9785b3e7a535f6d0,1,c45883ce58ac72d91dd8905b9785b3e7a535f6d0,,c45883ce58ac72d91dd8905b9785b3e7a535f6d0,,0,,113,0,0,1,4,0,0,5,0,0,11,66969,205.916170168287,14.723230151264,25.9672385730711,true,,2013-08-07T03:35:42,2013-08-07T03:36:30,passed,290,[9927639],214,9927639,java,ok,,java-maven,,false,,,,,,,0.0,0.0,true
