tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
4449600,crawljax/crawljax,false,,,java,,master,,,merge_found,,,,6,cdee9a579cc838cef19b0ed40f3089b14753c379#d45b0c4038b4b24fdb608d19a00a37e5b2cc59db,2,cdee9a579cc838cef19b0ed40f3089b14753c379,,cdee9a579cc838cef19b0ed40f3089b14753c379,,0,,1592,519,53,0,5,0,0,29,15,12,208,9316,435.379991412623,20.1803349076857,49.6994418205238,true,,,2013-01-29T10:40:28,errored,219,[4449601],168,4449601,java,unknown,,java-ant,,false,,,,,,,,,false
3575911,crawljax/crawljax,false,,,java,,master,1,78a27f4639eda0446de9b47d4e677225cb7fd3a1,build_found,1830480e93962815d7a6b966a50b5d0e1fcfcc01,3575032,2012-12-09T11:21:56,6,78a27f4639eda0446de9b47d4e677225cb7fd3a1,1,78a27f4639eda0446de9b47d4e677225cb7fd3a1,,78a27f4639eda0446de9b47d4e677225cb7fd3a1,,0,,2,0,0,0,1,0,0,1,0,0,4,7907,404.957632477551,20.1087643859871,49.4498545592513,true,,2012-12-09T11:23:42,2012-12-09T11:26:38,passed,277,[3575912],7,3575912,java,unknown,,java-ant,,false,,,,,,,,0.0,true
3729813,crawljax/crawljax,true,2012-12-18T07:04:47,76,java,merge_button,master,1,6378583445262369727823f3e152b7e174c53f49,build_found,5e6e1a6f08e8815a4faf34161b20b865b9f907e8,3728431,2012-12-18T23:16:33,6,6378583445262369727823f3e152b7e174c53f49,1,6378583445262369727823f3e152b7e174c53f49,ae0d2fc741e49f4b02f2dc4b995a21d624e7e9fc,da5be0b2e440bde27732f2ddb0682809a94d4d19,0,0,0,0,6,0,0,3,0,0,3,0,0,12,8053,413.26213833354,20.2409040109276,50.4159940394884,true,33.0,2012-12-18T23:16:47,2012-12-18T23:16:53,passed,325,[3729814],45,3729814,java,unknown,,java-ant,,false,,,,,,,,0.0,true
3847911,crawljax/crawljax,false,,,java,,master,1,fbfffa200e07a75b62daa1b34966a7e348dd26bc,build_found,9a2c1511bcdfb72b049badf45639e64ccfe403e3,3844129,2012-12-27T22:59:57,6,fbfffa200e07a75b62daa1b34966a7e348dd26bc,1,fbfffa200e07a75b62daa1b34966a7e348dd26bc,,fbfffa200e07a75b62daa1b34966a7e348dd26bc,,0,,20,0,0,0,1,0,0,1,0,0,8,8082,413.635238802277,20.168275179411,50.3588220737441,true,,2012-12-27T22:59:59,2012-12-27T23:00:01,passed,422,[3847912],52,3847912,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4172516,crawljax/crawljax,false,,,java,,new-test-util-rule,8,51a459f0b1176702ad7fb0eefc96bcedf9cf0193#68bcd97995c3ba687d6105dc16aa5a9f444b515a#0e4501e82c762bfd36f59c2164cb6cea3172e205#bee0de0e4afeeb5920253e144589c86d5108c84a#5a9e17a5ff6a4affee701822312ed29fcd74400e#e11726168366287efdda108ba886cd69f6e58c36#9c666a2c25c5e72e85a5bd7ea08ee9becfa1ebfb#8a20f558eae445e2c8fff909a1f5fa8250c1cacc,build_found,c0c098f77065d351fe26c0e9565105be4a337fb3,4166303,2013-01-15T20:31:30,6,51a459f0b1176702ad7fb0eefc96bcedf9cf0193,1,51a459f0b1176702ad7fb0eefc96bcedf9cf0193,,51a459f0b1176702ad7fb0eefc96bcedf9cf0193,,0,,46,0,1,0,0,0,0,1,0,0,0,8303,436.950499819342,20.4745272792966,50.2228110321571,true,,2013-01-18T20:26:04,2013-01-15T20:33:04,failed,300,[4172517],123,4172517,java,unknown,,java-ant,,false,,,,,,,,,false
4181227,crawljax/crawljax,true,2013-01-16T05:55:10,104,java,merge_button,master,2,0bf46f2858b52c5e436986cff6cc3178b6b47973#ab67367a8ffb5d0c69ee0d829e89ad8803a44ec2,build_found,486c99f164163795353bc52a343fd21714d91389,4180646,2013-01-16T06:52:03,6,0bf46f2858b52c5e436986cff6cc3178b6b47973,1,0bf46f2858b52c5e436986cff6cc3178b6b47973,486c99f164163795353bc52a343fd21714d91389,e942ac0cc8565f9008d15b675f644ee24091943b,0,0,0,92,0,0,1,1,0,0,2,0,0,9,8225,441.094224924012,20.6686930091185,50.6990881458967,true,38.0,2013-01-16T08:01:37,2013-01-16T06:55:49,passed,489,[4181228],129,4181228,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4356671,crawljax/crawljax,true,2013-01-24T14:13:21,107,java,merge_button,master,1,28ae6ea4ca15c42a1bb83ebe7db263e6c670f8b6,build_found,2c34bc2762716a501e215c364cba81621a63e7fa,4356219,2013-01-24T14:57:42,6,28ae6ea4ca15c42a1bb83ebe7db263e6c670f8b6,1,28ae6ea4ca15c42a1bb83ebe7db263e6c670f8b6,c61e721f00d2c335f49c8f330dee4a57c88adcfa,be07ee8f625a2d75af7254f91f083d3a6674ee5b,0,0,0,0,22,0,0,1,0,0,1,0,0,5,8256,441.012596899225,20.7122093023256,50.5087209302326,true,23.0,2013-01-24T14:57:48,2013-01-25T00:54:10,passed,755,[4356672],150,4356672,java,unknown,,java-ant,,false,,,,,,,,0.0,true
3575409,crawljax/crawljax,false,,,java,,WIVET-patches,4,256727f83e8a64420722fcaa9a06f9114b03ecf9#b22586f8d40d7087331b6829c667a5956b33ac1f#c0ac9030a6140db3169a11574dd108f74827546e#60104099b74d56d34144bfbc0dfd5c0f8d91c18a,build_found,1830480e93962815d7a6b966a50b5d0e1fcfcc01,3575032,2012-12-09T09:57:14,5,256727f83e8a64420722fcaa9a06f9114b03ecf9,1,256727f83e8a64420722fcaa9a06f9114b03ecf9,,256727f83e8a64420722fcaa9a06f9114b03ecf9,,8,,178,94,1,0,6,0,0,7,0,0,96,8010,405.368289637953,19.8501872659176,48.8139825218477,true,,2012-12-16T11:41:18,2012-12-09T10:06:39,passed,278,[3575410],6,3575410,java,unknown,,java-ant,,false,,,,,,,,0.0,true
3699735,crawljax/crawljax,false,,,java,,issue-65-swith-to-slf4j,1,5eccbca60c81f3adf9971211cbaa2939e14db625,build_found,0e381f2707fe54ee5047acd676f876998d6fa0f1,3690114,2012-12-17T09:01:22,6,5eccbca60c81f3adf9971211cbaa2939e14db625,1,5eccbca60c81f3adf9971211cbaa2939e14db625,,5eccbca60c81f3adf9971211cbaa2939e14db625,,4,,0,0,0,0,1,0,0,0,0,1,82,8049,404.39806187104,19.878245744813,48.7017020747919,true,,2012-12-17T09:02:08,2012-12-17T09:02:12,passed,296,[3699736],32,3699736,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4688282,crawljax/crawljax,true,2013-02-09T16:26:35,132,java,merge_button,master,1,d7aeee34a25f5890650fbf9cca0029929bf07333,build_found,070527f0399ae27380e076e4e5b407cc460405ee,4688265,2013-02-09T18:08:28,7,d7aeee34a25f5890650fbf9cca0029929bf07333,1,d7aeee34a25f5890650fbf9cca0029929bf07333,b1cda1ac9a25b886dd9c96e2ccaf96a379022d59,10e090376b9aee5c547a340f65f605abf2173d47,0,0,0,0,0,0,0,1,0,0,0,0,1,18,9255,452.728254997299,20.9616423554835,51.3236088600756,true,9.0,2013-02-09T18:08:45,2013-02-09T18:09:32,errored,1139,[4688283],214,4688283,java,unknown,,java-ant,,false,,,,,,,,,false
