tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
4534566,square/dagger,false,,,java,,master,2,b2b601d22855f3b2b85c010aea2093113e39bece#b43dd0b003a0300617b323d71709d7ce87eb6d1d,merge_found,,,2013-02-02T11:12:14,14,b43dd0b003a0300617b323d71709d7ce87eb6d1d,1,b43dd0b003a0300617b323d71709d7ce87eb6d1d,,b43dd0b003a0300617b323d71709d7ce87eb6d1d,,0,,0,0,1,0,0,0,0,0,0,1,1,3828,611.546499477534,34.7439916405434,60.0835945663532,true,,2013-02-02T13:16:48,2013-02-02T13:17:48,passed,351,[4534567],297,4534567,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4534640,square/dagger,false,,,java,,master,4,5ac493eee74bf08fc72fa19408dcfd4de3d5ed67#ea784ea0ad0e3de1c2ba12a4afbe90c2e95b958c#760f5a89d45dcca3f34293b584589259842d665e#55b9e30fa5bdc7e987402b1e32379fb78f8ea835,merge_found,,,2013-02-02T01:42:36,14,55b9e30fa5bdc7e987402b1e32379fb78f8ea835,1,55b9e30fa5bdc7e987402b1e32379fb78f8ea835,,55b9e30fa5bdc7e987402b1e32379fb78f8ea835,,0,,97,4,0,0,11,0,0,11,0,0,76,3815,613.630406290957,34.8623853211009,60.2883355176933,true,,2013-02-02T13:23:35,2013-02-02T13:25:12,passed,351,[4534641],298,4534641,java,unknown,,java-ant,,false,,,,,,,,0.0,true
5112511,square/dagger,false,,,java,,master,6,635146071232d82df2d6d7af7d939d8e5f89a674#840744a97d5ca3e8bdc1f69eecd5463e665218fb#738dc26797c51d4412715c0b6bc7dc3a99e06c11#35d1c328c790a1c127ac16f64548d13c0d462cef#3e1f6b56ab8fe84a55ed7f88ccce84d52e87e495#7d887b509ad56b0bfc0623f9e9c3016cc9487c85,merge_found,,,2013-02-22T00:45:48,14,7d887b509ad56b0bfc0623f9e9c3016cc9487c85,1,7d887b509ad56b0bfc0623f9e9c3016cc9487c85,,7d887b509ad56b0bfc0623f9e9c3016cc9487c85,,0,,108,57,1,0,3,0,0,4,0,0,59,3465,643.290043290043,34.6320346320346,61.1832611832612,true,,2013-02-27T19:13:10,2013-02-27T19:14:08,passed,407,[5112512],350,5112512,java,ok,,java-ant,,false,,,,,,,,0.0,true
14509599,square/dagger,false,,,java,,master,1,5e6ef7a6b5c2cb84715f550e4ed2d530a82a30e4,build_found,542a59f609d7309791e0dbfb9b0946645f65a445,14505700,2013-11-25T19:57:59,9,5e6ef7a6b5c2cb84715f550e4ed2d530a82a30e4,1,5e6ef7a6b5c2cb84715f550e4ed2d530a82a30e4,,5e6ef7a6b5c2cb84715f550e4ed2d530a82a30e4,,0,,0,0,0,0,2,0,0,0,0,2,98,4006,1003.99400898652,42.9355966050924,58.9116325511732,true,,2013-11-25T19:58:12,2013-11-25T20:18:40,passed,1219,"[14509600, 14509601]",811,14509600,java,ok,,java-ant,,false,,,,,,,,0.0,true
15427997,square/dagger,false,,,java,,master,2,b3dd575d704ee5d16039ddd893f69be35e264d7a#ed6e7d32aa5f1371ccd51efc209a9fe0f168a97b,build_found,527b2a1ebb07ac03b5c1c6470cc5799ac7032433,15426876,2013-12-13T23:47:58,9,b3dd575d704ee5d16039ddd893f69be35e264d7a,1,b3dd575d704ee5d16039ddd893f69be35e264d7a,,b3dd575d704ee5d16039ddd893f69be35e264d7a,,0,,2,0,0,0,1,0,0,1,0,0,8,3958,1031.32895401718,44.7195553309752,59.6260737746337,true,,2013-12-13T23:52:47,2013-12-13T23:55:22,passed,1084,"[15427998, 15427999]",826,15427998,java,ok,,java-ant,,false,,,,,,,,0.0,true
17034477,square/dagger,true,2014-01-15T23:59:08,376,java,merge_button,master,1,de8017ff0e02b29423b01ed3be0bd2e375bf728f,build_found,f44a0e10052a9acc26e46f68524d411886949e26,16765917,2014-01-16T00:54:23,9,de8017ff0e02b29423b01ed3be0bd2e375bf728f,1,de8017ff0e02b29423b01ed3be0bd2e375bf728f,f44a0e10052a9acc26e46f68524d411886949e26,c59b9c0b8d7dda0cc9ce7692c2ceaa7a5eb5e887,0,0,0,0,0,0,0,1,0,0,0,0,1,9,4037,1014.36710428536,44.092147634382,58.7069606143176,true,9.0,2014-01-16T00:59:34,2014-01-16T01:17:38,passed,1053,"[17034478, 17034479]",846,17034478,java,ok,,java-ant,,false,,,,,,,,0.0,true
17413051,square/dagger,false,,,java,,pforhan/guava-is-provided,2,de8017ff0e02b29423b01ed3be0bd2e375bf728f#7bf9796d63fb3455fdd83ecf685afd2303acd597,merge_found,,,2014-01-16T00:54:23,9,7bf9796d63fb3455fdd83ecf685afd2303acd597,1,7bf9796d63fb3455fdd83ecf685afd2303acd597,,7bf9796d63fb3455fdd83ecf685afd2303acd597,,0,,0,0,0,0,1,0,0,0,0,1,10,4037,1014.36710428536,44.092147634382,58.7069606143176,true,,2014-01-18T10:29:44,2014-01-22T14:40:54,passed,962,"[17413052, 17413053]",851,17413052,java,ok,,java-ant,,false,,,,,,,,0.0,true
33563917,square/dagger,true,2014-08-22T05:25:29,433,java,unknown,master,3,6e51c9f4b8b0a133d14a876afcb5fe1257cdbb0e#b088b28fffa9a90c2a609cb831c58c8629ef85ca#61e471df3891cf017755998b83839042f8455c29,build_found,b088b28fffa9a90c2a609cb831c58c8629ef85ca,33563884,2014-08-22T07:25:10,8,61e471df3891cf017755998b83839042f8455c29,1,61e471df3891cf017755998b83839042f8455c29,b088b28fffa9a90c2a609cb831c58c8629ef85ca,09ad3c0ef86fde2bf515c29bd80898c15cd33168,0,0,0,2,0,0,0,1,0,0,1,0,0,32,4312,963.358070500928,41.9758812615956,56.1224489795918,true,31.0,2014-08-26T07:34:31,2014-08-26T07:45:07,failed,1452,"[33563918, 33563919, 33563920]",897,33563920,java,ok,,java-ant,,false,,,,,,,,313.0,false
2906479,square/dagger,false,,,java,,master,,,merge_found,,,,16,570ff1e21384cfc67db7ed1a10220819e5107ce0,1,570ff1e21384cfc67db7ed1a10220819e5107ce0,,570ff1e21384cfc67db7ed1a10220819e5107ce0,,0,,8,0,0,0,1,0,0,1,0,0,34,3331,587.211047733413,34.5241669168418,54.9384569198439,true,,,2012-10-23T22:18:28,passed,105,[2906480],90,2906480,java,unknown,,java-ant,,false,,,,,,,,0.0,true
6968255,square/dagger,false,,,java,,master,2,b7eb59e57d4dd6fee56716dedae3ce23073454ae#9ad3843d341ca9e3f17391af65f2cf4c65e1c9f7,merge_found,,,2013-05-07T19:48:24,15,9ad3843d341ca9e3f17391af65f2cf4c65e1c9f7,1,9ad3843d341ca9e3f17391af65f2cf4c65e1c9f7,,9ad3843d341ca9e3f17391af65f2cf4c65e1c9f7,,0,,0,0,0,0,1,0,0,0,1,0,34,3755,660.719041278296,33.8215712383489,55.9254327563249,true,,2013-05-07T19:49:21,2013-05-07T19:49:59,passed,469,[6968256],608,6968256,java,ok,,java-ant,,false,,,,,,,,0.0,true
