tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
36061044,spotify/helios,false,,,java,,0.8.16,2,c2960d04e9fae3e21a6f18ddfb1f9cb5e3d2377c#39fd2131780f60cd8b311a0b2637fda40972f690,merge_found,,,2014-09-23T15:48:06,14,c2960d04e9fae3e21a6f18ddfb1f9cb5e3d2377c#c220e07d3819aa599f3afffc1e98d0d84c277c25,2,c2960d04e9fae3e21a6f18ddfb1f9cb5e3d2377c,,c2960d04e9fae3e21a6f18ddfb1f9cb5e3d2377c,,0,,5,0,0,0,11,0,0,1,0,10,109,17467,457.892024961356,13.682944981966,39.9038186294155,true,,2014-09-23T15:48:10,2014-09-23T15:52:58,passed,2167,[36061045],774,36061045,java,ok,25,java-maven,junit,true,false,8,0,8,0,,1669.47,1717.0,true
27537469,spotify/helios,false,,,java,,dano/do-not-pre-pull-images,2,5a0a31f695c432880807ae7a86db7954c08f9567#77327a237c7089759896425ca3709160ba06c43f,build_found,5a9a3ef2428c89edac96523b78b33ef68fcdda01,27536583,2014-06-13T23:02:37,10,5a0a31f695c432880807ae7a86db7954c08f9567,1,5a0a31f695c432880807ae7a86db7954c08f9567,,5a0a31f695c432880807ae7a86db7954c08f9567,,0,,3,0,0,0,1,0,0,1,0,0,2,15646,391.921257829477,11.0571392049086,32.6601048191231,true,,2014-06-16T02:25:39,2014-06-13T23:03:41,passed,1015,"[27537470, 27537471]",70,27537470,java,ok,,java-maven,junit,true,false,2,0,2,0,,885.98,,true
28274184,spotify/helios,false,,,java,,dano/docker-client-2.3.1,2,140f320d8d7beecba6d839c7e9b64c68aeab65d0#fc6e78f24204d3aeff37bb299ff1efa932273404,build_found,e2c08242c3647e8367f6e0014380a527b8dc53fa,28253401,2014-06-24T00:52:46,10,140f320d8d7beecba6d839c7e9b64c68aeab65d0,1,140f320d8d7beecba6d839c7e9b64c68aeab65d0,,140f320d8d7beecba6d839c7e9b64c68aeab65d0,,0,,0,0,0,0,1,0,0,0,0,1,11,15999,396.89980623789,11.625726607913,33.6271016938559,true,,2014-06-24T15:06:54,2014-06-24T00:54:54,failed,1525,"[28274185, 28274186]",149,28274185,java,ok,,java-maven,junit,true,false,2,0,2,0,,1113.54,,false
28323229,spotify/helios,false,,,java,,master,2,2295e8f4d8c6ac97fbb045c3b9850ceef1ba6c2f#512d0790becc2b12e4aae4d5b873fc7c77d72171,merge_found,,,2014-06-23T23:42:23,11,512d0790becc2b12e4aae4d5b873fc7c77d72171,1,512d0790becc2b12e4aae4d5b873fc7c77d72171,,512d0790becc2b12e4aae4d5b873fc7c77d72171,,0,,19,0,0,0,1,0,0,1,0,0,2,15706,404.304087609831,11.8426079205399,34.2544250604864,true,,2014-06-24T15:04:40,2014-06-24T15:12:07,passed,1677,"[28323230, 28323231]",153,28323231,java,ok,,java-maven,junit,true,false,2,0,2,0,,1021.78,,true
28333359,spotify/helios,true,2014-06-24T14:52:33,30,java,commits_in_master,master,2,63dc702584eb271e6af22284d014a342a29df5aa#d09294ad56aea696b60b3da098d6b85ed83d4d96,build_found,fc6e78f24204d3aeff37bb299ff1efa932273404,28323475,2014-06-24T16:52:10,11,63dc702584eb271e6af22284d014a342a29df5aa,1,63dc702584eb271e6af22284d014a342a29df5aa,fc6e78f24204d3aeff37bb299ff1efa932273404,ca8fb412dff622f922f0348f3ca1bd08cee237af,0,0,0,0,0,0,0,1,0,0,0,0,1,3,15706,404.304087609831,11.8426079205399,34.2544250604864,true,13.0,2014-06-24T18:20:16,2014-06-24T17:07:09,passed,1635,"[28333360, 28333361]",157,28333361,java,ok,,java-maven,junit,true,false,2,0,2,0,,1120.58,,true
28617916,spotify/helios,false,,,java,,dano/cli-shorten-hostnames,1,d9177f3805e848f521bef30141dd1748d856b92b,build_found,11024cbac6251bc007e5f61a7967b1ad08fb11c0,28614189,2014-06-26T18:13:04,11,d9177f3805e848f521bef30141dd1748d856b92b,1,d9177f3805e848f521bef30141dd1748d856b92b,,d9177f3805e848f521bef30141dd1748d856b92b,,0,,55,0,0,0,4,0,0,4,0,0,11,15874,402.860022678594,11.7802696232834,35.1518205871236,true,,2014-06-27T19:09:56,2014-06-27T19:11:28,passed,1375,[28617917],248,28617917,java,ok,,java-maven,junit,true,false,2,0,2,0,,1124.33,1155.0,true
29346363,spotify/helios,false,,,java,,drewc/fix-bugs,2,2242e0d814fd78368c1e96d11c810c48e2be6d90#f5f03bee02baeafb9751ae0cfa6daa4c2dc37734,build_found,77724cccacce71898025fdfa1e4cba8781cefe6c,29225336,2014-07-07T18:02:20,11,2242e0d814fd78368c1e96d11c810c48e2be6d90,1,2242e0d814fd78368c1e96d11c810c48e2be6d90,,2242e0d814fd78368c1e96d11c810c48e2be6d90,,0,,13,0,0,0,1,0,0,1,0,0,5,16128,410.838293650794,12.0287698412698,35.7762896825397,true,,2014-07-08T13:13:59,2014-07-07T18:44:16,passed,1741,[29346364],340,29346364,java,ok,,java-maven,junit,true,false,2,0,2,0,,1394.79,1436.0,true
30203841,spotify/helios,false,,,java,,master,2,0cc6ee3431a7502ecacce86c66a8af45702f1787#a0f648bd0889a39b6629e1f4669bfc24c4ba9bbe,merge_found,,,2014-07-16T02:10:37,11,a0f648bd0889a39b6629e1f4669bfc24c4ba9bbe,1,a0f648bd0889a39b6629e1f4669bfc24c4ba9bbe,,a0f648bd0889a39b6629e1f4669bfc24c4ba9bbe,,0,,61,28,0,0,2,0,0,2,0,0,9,16399,413.500823220928,12.1348862735533,37.1364107567535,true,,2014-07-17T19:30:22,2014-07-17T19:36:56,passed,1476,[30203842],424,30203842,java,ok,,java-maven,junit,true,false,3,0,3,0,,1220.59,1254.0,true
30267763,spotify/helios,true,2014-07-18T11:29:29,78,java,commits_in_master,master,1,a017582664373852617cb55b68c7a62a6fb0a385,build_found,2e2603683b206f2b6ba2d59d6df1d184146fa864,30267662,2014-07-18T13:19:55,11,a017582664373852617cb55b68c7a62a6fb0a385,1,a017582664373852617cb55b68c7a62a6fb0a385,2e2603683b206f2b6ba2d59d6df1d184146fa864,94cd08100dd11b10530b965257fa0035f816e881,0,0,0,8,0,0,0,1,0,0,1,0,0,1,16388,415.97510373444,12.2650720039053,37.5274591164267,true,6.0,2014-07-18T13:20:00,2014-07-18T15:21:23,passed,1472,[30267764],433,30267764,java,ok,,java-maven,junit,true,false,3,0,3,0,,1208.96,1244.0,true
31344640,spotify/helios,false,,,java,,master,2,e22a6935095b1c6a6a12718ec7164c95b1135481#ab4cff130c04c1ea8dd0421675aa583d9ab15fc0,merge_found,,,2014-07-30T16:26:38,12,ab4cff130c04c1ea8dd0421675aa583d9ab15fc0,1,ab4cff130c04c1ea8dd0421675aa583d9ab15fc0,,ab4cff130c04c1ea8dd0421675aa583d9ab15fc0,,0,,12,0,0,0,1,0,0,1,0,0,8,16579,420.531998311116,12.60630918632,37.8792448277942,true,,2014-07-31T15:45:26,2014-07-31T16:52:28,passed,1724,[31344641],510,31344641,java,unknown,27,java-maven,junit,true,false,4,0,4,0,,1407.67,1451.0,true
