tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
65424646,junit-team/junit,false,,,java,,master,2,37a8aaba8a817b4bebbeebcd645d304601a0c8f0#28a3a3b1bd84e4b438bea6fccc913f419003f879,merge_found,,,2014-07-29T20:18:47,6,28a3a3b1bd84e4b438bea6fccc913f419003f879,1,28a3a3b1bd84e4b438bea6fccc913f419003f879,,28a3a3b1bd84e4b438bea6fccc913f419003f879,,0,,42,177,1,0,4,0,0,5,0,0,196,9293,1836.43602711718,139.997847842462,184.54750887765,true,,2015-06-04T15:19:09,2015-06-04T15:22:23,passed,518,"[65424647, 65424648, 65424649, 65424650]",432,65424647,java,ok,0,java-ant,,false,,,,,,,,79.0,true
65514599,junit-team/junit,false,,,java,,master,1,99da5691c6cf70af52c4793ffab717a9f3085753,build_found,04353c59ed3ce7c795ee312fa8bf4d3f02d721a7,65463610,2015-05-31T17:34:37,6,99da5691c6cf70af52c4793ffab717a9f3085753,1,99da5691c6cf70af52c4793ffab717a9f3085753,,99da5691c6cf70af52c4793ffab717a9f3085753,,0,,2,0,0,0,1,0,0,1,0,0,11,9293,1836.43602711718,139.997847842462,184.54750887765,false,,2015-06-05T04:28:49,2015-06-05T04:29:58,passed,431,"[65514600, 65514601, 65514602, 65514603]",441,65514601,java,ok,0,java-ant,,false,,,,,,,,49.2,true
36173967,junit-team/junit,false,,,java,,master,2,86b9346e4c8fa263810dbd55a2775081194b1d6f#c2f2a8c11487523569bf30f75d16cb747947d8dc,merge_found,,,2014-09-21T18:11:07,8,c2f2a8c11487523569bf30f75d16cb747947d8dc,1,c2f2a8c11487523569bf30f75d16cb747947d8dc,,c2f2a8c11487523569bf30f75d16cb747947d8dc,,0,,216,0,0,0,9,0,0,9,0,0,145,9169,1811.53888101211,138.292071109172,182.353582724397,true,,2014-09-24T16:57:27,2014-09-24T17:02:35,passed,340,"[36173968, 36173969, 36173970, 36173971]",157,36173969,java,ok,,java-ant,,false,,,,,,,,36.65,true
38580149,junit-team/junit,true,2014-10-21T06:20:37,1010,java,commits_in_master,master,6,80e7b0deaf4ca24659878328987b7d096a4a7070#b69b3ab15e0aa03fa8e95f43d897af29843fca1b#0841cbb1c14ac497a107f576494df9e10816fef4#2cf560eec4eeabebe39ae372b52c562cb2161ffa#30a349860acfa847dd7a60ef77df92f6831794c7#26f9ebac45e0ff95c72d356b98b64eaf3de4f618,build_found,b5e4174d4fa7aa4cecb47c64214daddf9f293e53,38578112,2014-10-21T08:14:18,7,30a349860acfa847dd7a60ef77df92f6831794c7#2cf560eec4eeabebe39ae372b52c562cb2161ffa#0841cbb1c14ac497a107f576494df9e10816fef4#b69b3ab15e0aa03fa8e95f43d897af29843fca1b#80e7b0deaf4ca24659878328987b7d096a4a7070,5,30a349860acfa847dd7a60ef77df92f6831794c7,b5e4174d4fa7aa4cecb47c64214daddf9f293e53,e8b9f27a30b03d82a895bbd1510cb2dd760eb661,0,0,0,0,0,0,0,1,0,0,0,0,1,99,9244,1803.5482475119,137.170056252704,182.064041540459,true,70.0,2014-10-21T21:26:07,2014-10-21T08:21:49,passed,380,"[38580150, 38580151, 38580152, 38580153]",178,38580150,java,ok,,java-ant,,false,,,,,,,,42.68,true
28988226,junit-team/junit,false,,,java,,master,,,merge_found,,,,11,127f1bb2a137d611e98277a0d1e9184efc47bc05,1,127f1bb2a137d611e98277a0d1e9184efc47bc05,,127f1bb2a137d611e98277a0d1e9184efc47bc05,,0,,127,109,0,0,7,0,0,7,0,0,61,8459,1921.85837569453,145.052606691098,193.403475588131,true,,,2014-07-02T17:56:55,passed,463,"[28988227, 28988228, 28988229, 28988230]",26,28988228,java,ok,,java-ant,,false,,,,,,,,46.43,true
40072459,junit-team/junit,false,,,java,,master,2,99b0ebc70e061d7620179f4e72e735e3944e54cd#8d057b4e3352958a9a13ca54b4ca54b9cffc05c4,merge_found,,,2014-11-01T14:58:11,7,8d057b4e3352958a9a13ca54b4ca54b9cffc05c4,1,8d057b4e3352958a9a13ca54b4ca54b9cffc05c4,,8d057b4e3352958a9a13ca54b4ca54b9cffc05c4,,0,,24,145,0,0,3,0,0,3,0,0,175,9266,1812.64839197065,137.923591625297,182.495143535506,true,,2014-11-05T15:32:36,2014-11-05T15:37:30,passed,510,"[40072460, 40072461, 40072462, 40072463]",197,40072463,java,ok,,java-ant,,false,,,,,,,,72.0,true
40249984,junit-team/junit,false,,,java,,master,2,93b08bc93e76daae248982a4644c749cc4058ebc#d20ea40ce77489491bfbd8a1b44e4c45695c5455,merge_found,,,2014-11-05T18:39:15,7,d20ea40ce77489491bfbd8a1b44e4c45695c5455,1,d20ea40ce77489491bfbd8a1b44e4c45695c5455,,d20ea40ce77489491bfbd8a1b44e4c45695c5455,,0,,8,0,0,0,1,0,0,1,0,0,46,9266,1812.64839197065,137.923591625297,182.495143535506,true,,2014-11-07T00:59:56,2014-11-07T01:00:58,passed,382,"[40249985, 40249986, 40249987, 40249988]",203,40249986,java,ok,,java-ant,,false,,,,,,,,44.81,true
40466149,junit-team/junit,false,,,java,,master,,,build_found,77450c71a7024d85012fa371dbfe98b651353b02,40443822,,7,ceaafcafc7d7ac8d80509ab046acc7a472ddb515,1,ceaafcafc7d7ac8d80509ab046acc7a472ddb515,,ceaafcafc7d7ac8d80509ab046acc7a472ddb515,,0,,0,0,0,0,1,0,0,0,0,1,111,9266,1812.43254910425,137.923591625297,182.495143535506,true,,,2014-11-09T15:49:53,passed,472,"[40466150, 40466151, 40466152, 40466153]",217,40466152,java,ok,,java-ant,,false,,,,,,,,73.0,true
30815503,junit-team/junit,true,2014-07-25T04:23:12,962,java,commits_in_master,master,2,f17e06715488e2814b6f9b3b4e329961ce224f07#be4cdb2564e0cf039defb09d983925b7e00e71f0,build_found,74b11e0c206faf9ca78ec14c0c16ec44152d6268,30732928,2014-07-25T06:09:29,11,f17e06715488e2814b6f9b3b4e329961ce224f07,1,f17e06715488e2814b6f9b3b4e329961ce224f07,74b11e0c206faf9ca78ec14c0c16ec44152d6268,e4273d05caf98fe15517f0ad2440f7068e37d1a5,0,0,0,12,0,0,0,1,0,0,1,0,0,53,8467,1920.0425180111,144.915554505728,193.220739340971,false,105.0,2014-07-29T18:50:59,2014-07-25T06:23:41,passed,338,"[30815504, 30815505, 30815506, 30815507]",65,30815504,java,ok,,java-ant,,false,,,,,,,,45.79,true
43211542,junit-team/junit,false,,,java,,master,2,07cf3c7fa446da330776502fb7cdc7329bfa2265#d712ef951802074695c79740f9bb6954b12ee4ce,merge_found,,,2014-09-06T16:27:19,7,d712ef951802074695c79740f9bb6954b12ee4ce,1,d712ef951802074695c79740f9bb6954b12ee4ce,,d712ef951802074695c79740f9bb6954b12ee4ce,,0,,64,0,0,0,1,0,0,1,0,0,60,9250,1816.21621621622,138.162162162162,182.918918918919,true,,2014-12-06T19:55:29,2014-12-06T19:56:04,passed,442,"[43211543, 43211544, 43211545, 43211546]",246,43211546,java,ok,0,java-ant,,false,,,,,,,,67.0,true
