tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
46582358,qos-ch/logback,false,,,java,,master,2,eb501c5488d09881865e854e4cc31896bc6a2490#a9ca4101c5154067a831e533b9085220776147e2,merge_found,,,2014-12-22T03:17:47,3,a9ca4101c5154067a831e533b9085220776147e2,1,a9ca4101c5154067a831e533b9085220776147e2,,a9ca4101c5154067a831e533b9085220776147e2,,1,,21,25,0,0,3,0,0,3,0,0,19,28925,956.300777873812,34.3993085566119,71.1840968020743,true,,2015-01-10T21:33:28,2015-01-10T21:34:06,passed,214,[46582359],66,46582359,java,ok,1,java-maven,junit,true,false,48,0,48,2,,101.15,120.0,true
112717512,qos-ch/logback,false,,,java,,master,1,0bb0d395ca078fed0ba1ba248fa33f495f18a580,build_found,5fd0080cc4effbae5e71d79ac466ededa200bdd7,112713026,2016-02-29T22:34:37,3,0bb0d395ca078fed0ba1ba248fa33f495f18a580,1,0bb0d395ca078fed0ba1ba248fa33f495f18a580,,0bb0d395ca078fed0ba1ba248fa33f495f18a580,,0,,0,0,0,0,1,0,0,0,1,0,412,28757,959.418576346629,35.956462774281,74.7296310463539,true,,2016-02-29T22:33:45,2016-02-29T22:59:53,passed,166,[112717514],269,112717514,java,ok,12,java-maven,junit,true,false,53,0,53,2,,53.06,71.0,true
111874496,qos-ch/logback,false,,,java,,master,1,d2f747c66e583bf68e22227b9dea26efe054a442,build_found,c2dcbfcfb4048d11d7e81cd9220efbaaccf931fa,111856231,2016-02-25T22:33:05,3,d2f747c66e583bf68e22227b9dea26efe054a442,1,d2f747c66e583bf68e22227b9dea26efe054a442,,d2f747c66e583bf68e22227b9dea26efe054a442,,0,,0,0,0,0,1,0,0,0,1,0,408,28612,961.834195442472,35.9988815881448,74.8287431846778,true,,2016-02-25T22:28:11,2016-02-25T22:44:22,passed,142,[111874497],252,111874497,java,ok,2,java-maven,junit,true,false,53,0,53,2,,53.28,71.0,true
119612916,qos-ch/logback,false,,,java,,master,,,merge_found,,,,4,bd78efadb50d28b3bfeed614b9ddb7dd6683bb60,1,bd78efadb50d28b3bfeed614b9ddb7dd6683bb60,,bd78efadb50d28b3bfeed614b9ddb7dd6683bb60,,0,,0,0,0,0,6,0,0,0,6,0,262,29287,971.796360159798,36.1593881244238,75.5625362788951,true,,,2016-03-30T18:44:49,passed,161,[119612917],331,119612917,java,ok,8,java-maven,junit,true,false,53,0,53,2,,58.07,77.0,true
94408512,qos-ch/logback,true,2015-12-02T14:31:20,290,java,commits_in_master,master,2,9b74f9969d2bcff456e4d473815f868921e5f41e#afbab3286358bade55f8c733649dcbe0e67abb8a,build_found,993b3ccd176b85f217473b897670d78090d4c7dc,65977868,2015-07-14T12:24:57,4,9b74f9969d2bcff456e4d473815f868921e5f41e,1,9b74f9969d2bcff456e4d473815f868921e5f41e,993b3ccd176b85f217473b897670d78090d4c7dc,7aae3c7dbbf7fcf2308da82641a98dc461935620,0,0,0,26,22,0,0,4,0,0,3,1,0,193,29184,954.598410087719,34.5737390350877,71.5117872807018,true,36.0,2016-02-11T21:58:10,2015-12-02T14:32:56,passed,137,[94408513],192,94408513,java,ok,1,java-maven,junit,true,false,49,0,49,2,,42.2,61.0,true
129081791,qos-ch/logback,false,,,java,,master,,,merge_found,,,,5,40ffb92982b6b9800bdd19401b0bbb06ea10afbc,1,40ffb92982b6b9800bdd19401b0bbb06ea10afbc,,40ffb92982b6b9800bdd19401b0bbb06ea10afbc,,0,,2,0,0,0,1,0,0,1,0,0,35,29288,971.729035782573,36.15815350997,75.5258126195029,true,,,2016-05-10T09:17:24,failed,95,[129081794],359,129081794,java,broken,2,java-maven,junit,true,true,532,1,533,7,TimeBasedRollingWithArchiveRemoval_Test#,13.96,17.94,false
55849093,qos-ch/logback,false,,,java,,master,1,039f74bf33988d25b3593332d8e05cb031afda19,build_found,250547212bbb3da5898ed5e8feae9e3b2b126111,55840539,2015-03-25T19:39:32,3,039f74bf33988d25b3593332d8e05cb031afda19,1,039f74bf33988d25b3593332d8e05cb031afda19,,039f74bf33988d25b3593332d8e05cb031afda19,,0,,0,1,0,0,1,0,0,1,0,0,18,29164,951.652722534632,34.3574269647511,70.9093402825401,true,,2015-03-25T19:33:59,2015-03-25T19:50:23,failed,127,[55849094],116,55849094,java,broken,2,java-maven,junit,true,true,501,1,502,6,FileAppenderResilienceTest#,13.24,24.52,false
65848215,qos-ch/logback,false,,,java,,master,2,9f4d99d6144f22dbac9a2121241be7d6089e2f5c#bf631489e338fc3b4e0a3bdafd4b2e52ec47e55c,merge_found,,,2015-06-02T22:04:15,4,bf631489e338fc3b4e0a3bdafd4b2e52ec47e55c,1,bf631489e338fc3b4e0a3bdafd4b2e52ec47e55c,,bf631489e338fc3b4e0a3bdafd4b2e52ec47e55c,,0,,18,0,0,0,1,0,0,1,0,0,58,29168,954.436368623149,34.5584201865058,71.4481623697202,true,,2015-06-08T07:35:00,2015-06-08T07:36:00,passed,112,[65848216],146,65848216,java,ok,1,java-maven,junit,true,false,49,0,49,2,,32.06,52.42,true
65849864,qos-ch/logback,false,,,java,,master,2,077e45c8f71045d75519e9c059ecbd1faee5cd09#542843fd04a793fb9e0eea0c84d199e66d7c15af,merge_found,,,2015-03-18T15:24:33,4,542843fd04a793fb9e0eea0c84d199e66d7c15af,1,542843fd04a793fb9e0eea0c84d199e66d7c15af,,542843fd04a793fb9e0eea0c84d199e66d7c15af,,0,,7,0,0,0,1,0,0,1,0,0,19,29173,954.341343022658,34.5524971720426,71.504473314366,true,,2015-06-08T07:52:35,2015-06-08T07:54:43,passed,106,[65849866],149,65849866,java,ok,1,java-maven,junit,true,false,49,0,49,2,,29.92,49.78,true
44888649,qos-ch/logback,false,,,java,,master,7,2903c42fa840be63bd16bb651a62349b10c051ad#21dc40973b1bad072b862587c7ae9189db77c0c5#b56934604249f0fec9277dac806ce720388b5634#bd761567f2866025027755b11ea4084b6a2391cd#dd1d42fac3c707d3d358d503b351e12865d94edc#f438ea021657fe3cde742e169f60ffe39fe750b6#91abbdd3fbbd9e971a81cc116188e959d1929fe6,merge_found,,,2014-06-23T02:35:54,3,91abbdd3fbbd9e971a81cc116188e959d1929fe6,1,91abbdd3fbbd9e971a81cc116188e959d1929fe6,,91abbdd3fbbd9e971a81cc116188e959d1929fe6,,0,,52,58,0,0,2,0,0,2,0,0,26,28862,949.241216824891,34.3011572309611,71.1315917122861,true,,2014-12-23T00:15:24,2014-12-23T00:17:06,passed,144,[44888650],29,44888650,java,ok,1,java-maven,junit,true,false,46,0,46,2,,32.81,49.67,true
