tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
4058335,mcMMO-Dev/mcMMO,false,,,java,,master,3,1055186e86e72052a20555e14f53fa904056bd6e#00e1521d4656b1efdc5e5577f1d80081f772cb70#4bb6f68e6f9f20f656461790e7fe583baddca1ce,build_found,fc17448473a017b5ae5a0e87560170151a3d5af0,4057031,2013-01-10T02:44:53,10,4bb6f68e6f9f20f656461790e7fe583baddca1ce#00e1521d4656b1efdc5e5577f1d80081f772cb70#1055186e86e72052a20555e14f53fa904056bd6e,3,4bb6f68e6f9f20f656461790e7fe583baddca1ce,,4bb6f68e6f9f20f656461790e7fe583baddca1ce,,0,,298,0,1,0,5,0,0,6,0,0,135,18942,1.53098933586738,0.21117094287826,0.263963678597825,true,,2013-01-10T02:49:21,2013-01-10T02:50:02,passed,361,"[4058336, 4058337, 4058338]",20,4058336,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4058676,mcMMO-Dev/mcMMO,false,,,java,,master,2,6cc2fc7a6e479903875e352d561e5005f7d99496#75a5ffcb10ba4dfa3387e6ad8dc8764b25236785,build_found,4bb6f68e6f9f20f656461790e7fe583baddca1ce,4058335,2013-01-10T03:09:07,10,75a5ffcb10ba4dfa3387e6ad8dc8764b25236785#6cc2fc7a6e479903875e352d561e5005f7d99496,2,75a5ffcb10ba4dfa3387e6ad8dc8764b25236785,,75a5ffcb10ba4dfa3387e6ad8dc8764b25236785,,0,,111,0,0,0,7,0,0,7,0,0,129,18905,1.533985718064,0.211584236974345,0.264480296217932,true,,2013-01-10T03:18:47,2013-01-10T03:19:27,passed,365,"[4058678, 4058679, 4058677]",21,4058678,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4058676,mcMMO-Dev/mcMMO,false,,,java,,master,2,6cc2fc7a6e479903875e352d561e5005f7d99496#75a5ffcb10ba4dfa3387e6ad8dc8764b25236785,build_found,4bb6f68e6f9f20f656461790e7fe583baddca1ce,4058335,2013-01-10T03:09:07,10,75a5ffcb10ba4dfa3387e6ad8dc8764b25236785#6cc2fc7a6e479903875e352d561e5005f7d99496,2,75a5ffcb10ba4dfa3387e6ad8dc8764b25236785,,75a5ffcb10ba4dfa3387e6ad8dc8764b25236785,,0,,111,0,0,0,7,0,0,7,0,0,129,18905,1.533985718064,0.211584236974345,0.264480296217932,true,,2013-01-10T03:18:47,2013-01-10T03:19:27,passed,365,"[4058678, 4058679, 4058677]",21,4058679,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4059516,mcMMO-Dev/mcMMO,false,,,java,,master,2,e036b7ac703921e0dca3d47e3e90729b4de6fe21#c1463c3257e87414841b777e483470edc0101c27,build_found,4a4db675f13feb982ec2befa78591c141460a0e8,4059129,2013-01-10T04:15:29,10,c1463c3257e87414841b777e483470edc0101c27#e036b7ac703921e0dca3d47e3e90729b4de6fe21,2,c1463c3257e87414841b777e483470edc0101c27,,c1463c3257e87414841b777e483470edc0101c27,,0,,180,0,0,0,26,0,0,26,0,0,290,18743,1.54724430454036,0.213413007522809,0.266766259403511,true,,2013-01-10T04:46:38,2013-01-10T04:47:24,passed,366,"[4059519, 4059517, 4059518]",25,4059517,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4072156,mcMMO-Dev/mcMMO,false,,,java,,master,1,74c3ce0552539526f460a2594364b54980a994d6,build_found,67b63f84f1cb1345e640a1ffcd922717df469bf5,4071940,2013-01-10T17:55:54,10,74c3ce0552539526f460a2594364b54980a994d6,1,74c3ce0552539526f460a2594364b54980a994d6,,74c3ce0552539526f460a2594364b54980a994d6,,0,,5,0,0,0,1,0,0,1,0,0,65,18694,1.55129988231518,0.213972397560715,0.267465496950893,true,,2013-01-10T17:55:59,2013-01-10T17:56:34,passed,356,"[4072158, 4072159, 4072157]",30,4072159,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4075150,mcMMO-Dev/mcMMO,false,,,java,,master,1,93180ccd066771534d88a683ac07d5218e13cf07,build_found,f43b4ebdc58353e4f1d4df3ad0cbe1b4399d06f9,4075032,2013-01-10T20:28:02,10,93180ccd066771534d88a683ac07d5218e13cf07,1,93180ccd066771534d88a683ac07d5218e13cf07,,93180ccd066771534d88a683ac07d5218e13cf07,,0,,12,0,0,0,1,0,0,1,0,0,56,18688,1.55179794520548,0.214041095890411,0.267551369863014,true,,2013-01-10T20:28:08,2013-01-10T20:28:48,passed,352,"[4075152, 4075151, 4075153]",36,4075151,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4075275,mcMMO-Dev/mcMMO,false,,,java,,master,3,3f899380d9a24dd8982b4c3040b6449755cc5f8d#e01b6f175c0a7efc17fca415498ff0905deddcc7#bdfd7d9839bd6347faf28a73ec31810ffaf1973c,build_found,93180ccd066771534d88a683ac07d5218e13cf07,4075150,2013-01-10T17:03:16,10,bdfd7d9839bd6347faf28a73ec31810ffaf1973c#e01b6f175c0a7efc17fca415498ff0905deddcc7#3f899380d9a24dd8982b4c3040b6449755cc5f8d,3,bdfd7d9839bd6347faf28a73ec31810ffaf1973c,,bdfd7d9839bd6347faf28a73ec31810ffaf1973c,,0,,229,0,0,0,32,0,0,12,0,20,198,18834,1.53976850376978,0.212381862588935,0.265477328236169,true,,2013-01-10T20:33:53,2013-01-10T20:34:32,passed,352,"[4075277, 4075276, 4075278]",37,4075277,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4078694,mcMMO-Dev/mcMMO,true,2013-01-10T22:22:20,475,java,merge_button,master,2,6cdb27aef0d72e38105b3ff6b1020369a15928fe#5b5413c1a25cfa962427de0e9017555d7289b832,build_found,2205ad07724ceef8c5a5891b4f6b9105a1101de6,4077796,2013-01-10T23:21:18,10,6cdb27aef0d72e38105b3ff6b1020369a15928fe,1,6cdb27aef0d72e38105b3ff6b1020369a15928fe,2205ad07724ceef8c5a5891b4f6b9105a1101de6,c99f77cfa113a0f278e3fb5bdd6d88a5c317008b,0,0,0,123,0,0,0,9,0,0,7,0,2,276,18918,1.53293159953483,0.21143884131515,0.264298551643937,true,26.0,2013-01-10T23:31:40,2013-01-10T23:25:12,passed,352,"[4078697, 4078696, 4078695]",43,4078696,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4093758,mcMMO-Dev/mcMMO,false,,,java,,master,1,08592cbacfcd1429020387b5e643752cf352af68,build_found,487e67d20828d40069929e93748fbae2bdb2f798,4082804,2013-01-11T17:12:19,10,08592cbacfcd1429020387b5e643752cf352af68,1,08592cbacfcd1429020387b5e643752cf352af68,,08592cbacfcd1429020387b5e643752cf352af68,,0,,62,0,0,0,1,0,0,1,0,0,7,19109,1.51760950337537,0.209325448741431,0.261656810926788,true,,2013-01-11T17:12:24,2013-01-11T17:40:22,passed,381,"[4093761, 4093760, 4093759]",55,4093759,java,unknown,,java-ant,,false,,,,,,,,0.0,true
4129523,mcMMO-Dev/mcMMO,false,,,java,,master,1,21a0849a5b0d838f47a0324242cd42e8c01d6111,build_found,1f660c8c5b8e37c021898e8ca91d804f1eab398a,4129452,2013-01-13T21:22:56,10,21a0849a5b0d838f47a0324242cd42e8c01d6111,1,21a0849a5b0d838f47a0324242cd42e8c01d6111,,21a0849a5b0d838f47a0324242cd42e8c01d6111,,0,,1,0,0,0,1,0,0,1,0,0,11,19244,1.50696320931199,0.207856994387861,0.259821242984826,true,,2013-01-13T21:23:08,2013-01-13T21:23:50,passed,397,"[4129527, 4129525, 4129530]",79,4129530,java,unknown,,java-ant,,false,,,,,,,,0.0,true
