tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
29182555,fernandezpablo85/scribe-java,true,2014-07-05T02:00:04,496,java,commits_in_master,master,3,5eeb6fe8b3914f7fd4961bed26bd8b4c66b082b9#cc55615470101c272bacf1fecd3dfa2a9b0692e9#e83fa1c3da06ca85468b69a7d7d13b0077f8079f,build_found,c4dbbcf98992d4f83f51e06ed2b71dc6f7eacb6a,26005556,2014-07-05T03:49:15,4,cc55615470101c272bacf1fecd3dfa2a9b0692e9#5eeb6fe8b3914f7fd4961bed26bd8b4c66b082b9,2,cc55615470101c272bacf1fecd3dfa2a9b0692e9,c4dbbcf98992d4f83f51e06ed2b71dc6f7eacb6a,09d13224537cf71e1bccf7de930b58d532174308,0,0,0,6,5,0,0,2,0,0,2,0,0,7,2805,904.45632798574,35.2941176470588,33.8680926916221,false,76.0,2014-07-10T23:32:33,2014-07-05T04:01:17,passed,82,[29182556],225,29182556,java,ok,,java-maven,junit,true,false,99,0,99,0,,0.58,,true
14426813,fernandezpablo85/scribe-java,true,2013-11-23T20:04:27,431,java,merge_button,master,3,8fb4d5d4fd23d66e1840bc9da85aec1c771e2e25#d1274eb001b310b2d6674e42c096a32475b6559a#b06efa5058fef019b493e8125dd015fe2e1e6ec5,build_found,7fca6d5c188e2a5102da4a162167697f241ab2c0,10543705,2013-11-23T20:58:02,3,8fb4d5d4fd23d66e1840bc9da85aec1c771e2e25,1,8fb4d5d4fd23d66e1840bc9da85aec1c771e2e25,11dc6b1f541633a6432a41d258357f7fa483778c,70965800d9b058a164c7ce30b3ac1e545e4b9c13,0,0,0,14,0,0,0,1,0,0,1,0,0,31,2803,855.155190866928,33.535497681056,32.108455226543,true,27.0,2013-11-26T16:50:03,2013-11-23T21:05:32,passed,104,[14426814],146,14426814,java,ok,,java-maven,junit,true,false,94,0,94,0,,0.68,,true
7804319,fernandezpablo85/scribe-java,true,2013-06-05T10:35:56,387,java,merge_button,master,2,a4851d8d9f6845b43d94f1ac4528ae63e3385fd8#cf6f10e3dfa9a7aedd82c5d8bb1862f498dc9717,build_found,ad55e225a668facb367956b47d7230fd4d253413,5320018,2013-06-05T12:34:35,3,a4851d8d9f6845b43d94f1ac4528ae63e3385fd8,1,a4851d8d9f6845b43d94f1ac4528ae63e3385fd8,ad55e225a668facb367956b47d7230fd4d253413,0b856b5b4ff1d61f622fb4c90e9652c37e3430e8,1,0,0,15,0,0,0,1,0,0,1,0,0,29,2795,857.602862254025,33.6314847942755,32.2003577817531,false,21.0,2013-06-05T13:47:36,2013-06-05T12:36:35,passed,213,[7804320],121,7804320,java,ok,,java-maven,junit,true,false,94,0,94,0,,0.6,,true
1174124,fernandezpablo85/scribe-java,false,,,java,,master,1,89ddd131e42ee0bdd7a414439f6887aa213427ec,build_found,1208fd815ac023f5acf2de491badbe8b68f98c40,1071910,2012-04-25T17:19:09,3,89ddd131e42ee0bdd7a414439f6887aa213427ec,1,89ddd131e42ee0bdd7a414439f6887aa213427ec,,89ddd131e42ee0bdd7a414439f6887aa213427ec,,0,,0,4,0,0,1,0,0,1,0,0,1,2316,845.854922279793,34.9740932642487,34.5423143350604,true,,2012-04-25T17:19:19,2012-04-25T17:19:42,passed,98,[1174125],8,1174125,java,unknown,,java-ant,,false,,,,,,,,0.0,true
2902597,fernandezpablo85/scribe-java,false,,,java,,master,,,merge_found,,,,3,9a99a44c5f5a7e557f0a4bfa5d64a2587947b590#b8ca4910f883dbc2759ba9ef494c591eb65e2521,2,9a99a44c5f5a7e557f0a4bfa5d64a2587947b590,,9a99a44c5f5a7e557f0a4bfa5d64a2587947b590,,0,,79,0,1,0,4,0,0,5,0,0,58,2565,843.27485380117,36.6471734892788,35.0877192982456,true,,,2012-10-23T17:28:53,passed,43,[2902598],61,2902598,java,unknown,,java-ant,,false,,,,,,,,0.0,true
14370353,fernandezpablo85/scribe-java,false,,,java,,master,2,0fe6578ad7200365116953a06001e3a1a659be2a#11dc6b1f541633a6432a41d258357f7fa483778c,merge_found,,,2013-11-22T11:10:03,3,11dc6b1f541633a6432a41d258357f7fa483778c,1,11dc6b1f541633a6432a41d258357f7fa483778c,,11dc6b1f541633a6432a41d258357f7fa483778c,,0,,0,62,1,0,0,0,0,1,0,0,1,2795,875.134168157424,33.6314847942755,32.2003577817531,true,,2013-11-22T14:31:15,2013-11-22T14:33:26,passed,119,[14370354],145,14370354,java,ok,,java-maven,junit,true,false,94,0,94,0,,0.62,,true
15967246,fernandezpablo85/scribe-java,true,2013-12-25T19:01:44,440,java,merge_button,master,2,d25432be0517fa6b058a66fb1286e1a037582494#f8021ebc222288b4c23c09569c37910f7f9aa611,build_found,94add5a8dc5e14e06f3f10108a3e33f7825d56e6,15022239,2013-12-25T20:00:10,3,d25432be0517fa6b058a66fb1286e1a037582494,1,d25432be0517fa6b058a66fb1286e1a037582494,94add5a8dc5e14e06f3f10108a3e33f7825d56e6,94b261564e22d10167fc7de84a27fa475a7bbf2c,0,0,0,2,0,0,0,1,0,0,1,0,0,9,2803,904.744916161256,35.3193007491973,33.8922582946843,false,21.0,2013-12-26T12:58:30,2013-12-25T20:02:31,passed,87,[15967247],153,15967247,java,ok,,java-maven,junit,true,false,99,0,99,0,,0.64,,true
34148637,fernandezpablo85/scribe-java,false,,,java,,master,1,3fb9fa83ccdee8f1d67332fed6d0bd79b4f827a2,build_found,60aa4bb714a291a4694fc27085017ed83b00bbc3,31953950,2014-09-02T02:19:21,3,3fb9fa83ccdee8f1d67332fed6d0bd79b4f827a2,1,3fb9fa83ccdee8f1d67332fed6d0bd79b4f827a2,,3fb9fa83ccdee8f1d67332fed6d0bd79b4f827a2,,0,,30,3,0,0,2,0,0,2,0,0,8,2805,904.45632798574,35.2941176470588,33.8680926916221,true,,2014-09-02T02:19:28,2014-09-02T02:19:55,passed,103,[34148638],239,34148638,java,ok,,java-maven,junit,true,false,99,0,99,0,,0.67,,true
22861085,fernandezpablo85/scribe-java,true,2012-09-26T23:54:25,309,java,commits_in_master,master,2,eac0ffd257f804b773cd471271f02b646e1b157f#135ad50a4e4e27e97f09e42ae50d6011c7af7a4b,build_found,7b4fe73ba2b958627d838704ee6a706abd266301,2441305,2012-09-27T01:42:12,4,eac0ffd257f804b773cd471271f02b646e1b157f,1,eac0ffd257f804b773cd471271f02b646e1b157f,c9401eb62df5d98e7c0aef04719bed98cc18cf00,45ff6ac3d83bcb7ed502af416a2aa7fce756a765,3,1,0,4,0,0,0,1,0,0,1,0,0,5,2522,857.652656621729,37.2720063441713,35.6859635210151,false,22.0,2014-04-12T22:04:21,2014-04-12T22:04:23,errored,29,[22861086],207,22861086,java,unknown,,java-ant,,false,,,,,,,,,false
46856732,fernandezpablo85/scribe-java,true,2015-01-13T13:25:50,533,java,merge_button,master,2,b48d5d68d1116bc3f43b22d381f8bf97112d5b8b#d610b291aa69502f2241371bce76a0bc08b23722,build_found,e47e494ce39f9b180352fc9b5fd73c8b3ccce7f8,37011070,2015-01-09T14:44:21,3,b48d5d68d1116bc3f43b22d381f8bf97112d5b8b,1,b48d5d68d1116bc3f43b22d381f8bf97112d5b8b,e47e494ce39f9b180352fc9b5fd73c8b3ccce7f8,109be338e793205e21117280a7e5d5490fa978fc,0,2,0,4,0,0,0,1,0,0,1,0,0,10,2805,904.45632798574,35.2941176470588,33.8680926916221,false,59.0,2015-01-14T22:06:04,2015-01-13T14:26:28,passed,107,[46856733],263,46856733,java,ok,2,java-maven,junit,true,false,99,0,99,0,,1.06,,true
