tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
129022086,apache/tajo,false,,,java,,master,,,build_found,7f9c4c950fe28de7df6662a947733c7b8abeecb7,129021563,,7,34c5d5f24c48683f59925cafbec04a832e532753,1,34c5d5f24c48683f59925cafbec04a832e532753,,34c5d5f24c48683f59925cafbec04a832e532753,,0,,41,6,0,0,3,0,0,2,0,1,854,170329,292.387086168533,11.2253344997035,35.3492358905412,false,,,2016-05-10T02:33:04,passed,3249,"[129022087, 129022088, 129022089, 129022090, 129022093, 129022094, 129022104]",5701,129022090,java,ok,6,java-ant,,false,,,,,,,,87.0,true
131013021,apache/tajo,false,,,java,,master,,,build_found,1e540bbb20236274aa8187310b5117f834745dca,130723829,,9,3de37746113d6534963396616485d5cc5ff50501,1,3de37746113d6534963396616485d5cc5ff50501,,3de37746113d6534963396616485d5cc5ff50501,,0,,304,76,0,0,7,0,0,6,0,1,877,171015,291.588457152881,11.1510686197117,35.4179457942286,false,,,2016-05-18T01:24:46,passed,3920,"[131013023, 131013024, 131013025, 131013026, 131013027, 131013028, 131013029]",5777,131013027,java,ok,6,java-ant,,false,,,,,,,,130.0,true
109508480,apache/tajo,false,,,java,,master,1,704a61ccb58452389ae993833b216add0ce8f397,build_found,df2b08033f1d87ac6cee85f8d4564d57533403ae,109294595,2016-02-16T02:36:13,9,704a61ccb58452389ae993833b216add0ce8f397,1,704a61ccb58452389ae993833b216add0ce8f397,,704a61ccb58452389ae993833b216add0ce8f397,,0,,0,3,0,0,3,1,1,1,0,2,827,169018,288.229656012969,11.176324415151,35.3039321255724,false,,2016-02-16T02:38:03,2016-02-16T02:39:02,passed,3085,"[109508481, 109508482, 109508483, 109508485, 109508487, 109508488, 109508489]",5215,109508485,java,ok,4,java-ant,,false,,,,,,,,72.0,true
110862870,apache/tajo,false,,,java,,master,1,1138784fbd1e3e7b34ce616bd308250ef59ab859,build_found,7a9a3ec47bd9793f006aa93c97b10f0ab0383c67,110306853,2016-02-22T02:03:10,9,1138784fbd1e3e7b34ce616bd308250ef59ab859,1,1138784fbd1e3e7b34ce616bd308250ef59ab859,,1138784fbd1e3e7b34ce616bd308250ef59ab859,,0,,57,16,1,0,6,0,1,5,0,2,840,169124,288.202738818855,11.1811451952414,35.2818050661053,false,,2016-02-22T02:03:57,2016-02-22T02:04:54,passed,3169,"[110862872, 110862877, 110862878, 110862879, 110862880, 110862881, 110862882]",5249,110862878,java,ok,4,java-ant,,false,,,,,,,,72.0,true
113558649,apache/tajo,false,,,java,,master,1,0d94efe0fbaea5a8d9eb042b912d0713af62bc16,build_found,1138784fbd1e3e7b34ce616bd308250ef59ab859,110862870,2016-03-04T02:01:50,8,0d94efe0fbaea5a8d9eb042b912d0713af62bc16,1,0d94efe0fbaea5a8d9eb042b912d0713af62bc16,,0d94efe0fbaea5a8d9eb042b912d0713af62bc16,,0,,0,34,0,0,2,0,0,1,0,1,827,169124,288.338733710177,11.1811451952414,35.2818050661053,false,,2016-03-04T02:02:53,2016-03-04T02:09:04,passed,3385,"[113558656, 113558657, 113558658, 113558660, 113558662, 113558664, 113558666]",5278,113558660,java,ok,4,java-ant,,false,,,,,,,,75.0,true
114452737,apache/tajo,false,,,java,,master,1,f115833b9ff97a178febf3753f516888a3161af7,build_found,6942fa39900bfd6c41ffb305844101ab9ea4c933,114449485,2016-03-08T07:40:15,8,f115833b9ff97a178febf3753f516888a3161af7,1,f115833b9ff97a178febf3753f516888a3161af7,,f115833b9ff97a178febf3753f516888a3161af7,,0,,131,602,16,0,41,14,14,10,0,47,834,169262,287.258805874916,11.1897531637343,35.0108116411244,true,,2016-03-08T07:42:35,2016-03-08T07:43:38,passed,5045,"[114452738, 114452739, 114452740, 114452741, 114452743, 114452745, 114452747]",5322,114452745,java,ok,4,java-ant,,false,,,,,,,,71.0,true
114454114,apache/tajo,false,,,java,,branch-0.11.2,1,fbbe6ee194b82f347af58a94cee9ab7d038f6577,build_found,e65f4a2b406210bd25daf8e2f68b5d332b2eec45,114449723,2016-03-08T07:53:08,8,fbbe6ee194b82f347af58a94cee9ab7d038f6577,1,fbbe6ee194b82f347af58a94cee9ab7d038f6577,,fbbe6ee194b82f347af58a94cee9ab7d038f6577,,0,,129,603,16,0,41,14,14,10,0,47,783,167958,284.529465699758,11.2289977256219,34.6396122840234,true,,2016-03-08T07:55:13,2016-03-08T07:56:53,passed,5303,"[114454118, 114454119, 114454120, 114454121, 114454122, 114454123, 114454124]",5323,114454121,java,ok,41,java-ant,,false,,,,,,,,74.0,true
114695619,apache/tajo,false,,,java,,master,1,823508d7901bee4ba1c43cc24665f6c50e518534,build_found,f115833b9ff97a178febf3753f516888a3161af7,114452737,2016-03-08T20:23:36,8,823508d7901bee4ba1c43cc24665f6c50e518534,1,823508d7901bee4ba1c43cc24665f6c50e518534,,823508d7901bee4ba1c43cc24665f6c50e518534,,0,,0,0,0,0,2,0,0,0,0,2,835,169262,287.258805874916,11.1897531637343,35.0108116411244,true,,2016-03-09T04:13:46,2016-03-09T04:14:52,passed,3451,"[114695621, 114695622, 114695623, 114695626, 114695627, 114695628, 114695629]",5325,114695622,java,ok,4,java-ant,,false,,,,,,,,229.0,true
116802916,apache/tajo,false,,,java,,master,1,d25bec87ac0fe9c819cbcf79e823222fcdad239d,build_found,ae707c82d7aca73ba58bd4288c40e6031e617202,116449211,2016-03-18T02:14:00,8,d25bec87ac0fe9c819cbcf79e823222fcdad239d,1,d25bec87ac0fe9c819cbcf79e823222fcdad239d,,d25bec87ac0fe9c819cbcf79e823222fcdad239d,,0,,0,56,0,0,3,0,0,1,0,2,836,169705,286.933207624996,11.1841136089096,35.1845850151734,false,,2016-03-18T02:14:57,2016-03-18T02:15:57,passed,3469,"[116802917, 116802918, 116802928, 116802929, 116802930, 116802931, 116802932]",5376,116802930,java,ok,4,java-ant,,false,,,,,,,,73.0,true
117866830,apache/tajo,false,,,java,,master,,,build_found,9fcc9fd3af4479c3042e4907938b18b6e264b500,117383082,,8,68263585296e30f93e541c36908a652df7398b9e,1,68263585296e30f93e541c36908a652df7398b9e,,68263585296e30f93e541c36908a652df7398b9e,,0,,11741,181,13,51,24,1,4,76,1,15,255,167720,290.853803958979,11.3343668018125,35.6367755783449,false,,,2016-03-23T01:43:34,passed,3341,"[117866831, 117866832, 117866833, 117866834, 117866835, 117866836, 117866837]",5427,117866833,java,ok,4,java-ant,,false,,,,,,,,51.36,true
