tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
25561564,zanata/zanata-server,false,,,java,,release,2,ef2b2c0a7f70f2a7cb1ca9ec8bdc07abb31669c1#debfc4ea68f4eff13c2b37161251938c30191685,merge_found,,,2014-05-19T22:29:36,12,debfc4ea68f4eff13c2b37161251938c30191685,1,debfc4ea68f4eff13c2b37161251938c30191685,,debfc4ea68f4eff13c2b37161251938c30191685,,0,,2,10,0,0,4,0,0,3,1,0,159,70147,636.962379004091,21.2981310676152,44.0218398505994,true,,2014-05-19T23:52:54,2014-05-19T23:53:32,errored,826,"[25561565, 25561566, 25561567, 25561568]",117,25561567,java,unknown,,java-ant,,false,,,,,,,,,false
79072131,zanata/zanata-server,false,,,java,,master,1,a1c6e39fffbf9cdaceaf1936c4e42dcc2c691267,merge_found,,,2015-09-07T05:07:39,13,a1c6e39fffbf9cdaceaf1936c4e42dcc2c691267#112c72c84569549f92ab4670ce440c785048a519,2,a1c6e39fffbf9cdaceaf1936c4e42dcc2c691267,,a1c6e39fffbf9cdaceaf1936c4e42dcc2c691267,,0,,12,0,0,0,3,0,0,2,0,1,101,88985,584.458054728325,19.1830083721976,41.3665224476035,true,,2015-09-07T05:07:41,2015-09-07T05:33:06,errored,609,"[79072132, 79072133, 79072134]",205,79072134,java,unknown,2,java-ant,,false,,,,,,,,,false
40137594,zanata/zanata-server,false,,,java,,integration/master,2,d08d44789ba8b9ae1d8f610ec507d9052e7490fc#142b95ce1506f95f57df3b0bfcddedb9d3a8a555,merge_found,,,2014-11-06T00:03:12,11,142b95ce1506f95f57df3b0bfcddedb9d3a8a555,1,142b95ce1506f95f57df3b0bfcddedb9d3a8a555,,142b95ce1506f95f57df3b0bfcddedb9d3a8a555,,0,,0,2,0,0,1,0,0,1,0,0,54,75821,632.81940359531,21.3661122907902,44.2093879004497,true,,2014-11-06T02:32:30,2014-11-06T02:39:42,errored,602,"[40137595, 40137596, 40137597]",146,40137595,java,ok,,java-maven,junit,true,false,1521,0,1521,1,,110.19,390.0,false
8489140,zanata/zanata-server,true,2013-06-26T23:29:32,7,java,merge_button,integration/master,3,0a0b38348591ba7bb26c732544876614ef7ea05c#0d68b7e9099db350b4e14e5b6168b34aef571bed#44ca5a36f3b78ec4852d5376099f920d130ca83d,build_found,ce7928c72b5d8aa164396da2274bf87430796bce,8455398,2013-06-27T00:56:34,10,0a0b38348591ba7bb26c732544876614ef7ea05c,1,0a0b38348591ba7bb26c732544876614ef7ea05c,ce7928c72b5d8aa164396da2274bf87430796bce,535636853dd9d8fedf9d35f97ca0630075e83840,2,0,0,60,0,0,0,2,0,0,3,0,0,2,63900,464.209702660407,18.0438184663537,35.226917057903,true,41.0,2013-06-27T04:32:46,2013-06-27T01:45:50,passed,1177,[8489141],21,8489141,java,ok,,java-maven,junit,true,false,1198,0,1198,0,,87.62,,true
14641441,zanata/zanata-server,false,,,java,,integration/master,1,42239ae197c7324022f14c8d5ec75b2d35f20bc4,build_found,bd8f703f842ff5473579dedb8913873cf11ea056,14641432,2013-11-28T06:34:46,12,42239ae197c7324022f14c8d5ec75b2d35f20bc4,1,42239ae197c7324022f14c8d5ec75b2d35f20bc4,,42239ae197c7324022f14c8d5ec75b2d35f20bc4,,0,,0,0,0,0,4,0,0,0,0,4,920,66169,583.687225135638,20.2360622043555,40.8046063866765,true,,2013-11-28T06:34:52,2013-11-28T06:43:11,errored,1909,[14641442],76,14641442,java,unknown,,java-maven,,false,,,,,,,0.0,,false
25573606,zanata/zanata-server,false,,,java,,integration/master,5,ef2b2c0a7f70f2a7cb1ca9ec8bdc07abb31669c1#debfc4ea68f4eff13c2b37161251938c30191685#6f7051f5c852d405f94825df9feec9c8c22ef0fe#1ca6ac3774d85f92eced5da22602ad2eb9c5f5c5#6309507d3401c281b511ca2cce9452e2ee11a4bc,merge_found,,,2014-05-19T22:29:36,12,6309507d3401c281b511ca2cce9452e2ee11a4bc,1,6309507d3401c281b511ca2cce9452e2ee11a4bc,,6309507d3401c281b511ca2cce9452e2ee11a4bc,,0,,11,10,0,0,6,0,0,4,1,1,229,70129,636.384377361719,21.2893382195668,43.8905445678678,false,,2014-05-20T05:12:06,2014-05-20T05:12:47,errored,695,"[25573607, 25573608, 25573609, 25573610]",127,25573610,java,unknown,,java-ant,,false,,,,,,,,,false
78522141,zanata/zanata-server,true,2015-08-31T02:33:36,953,java,merge_button,release,4,7650aea1e6863ae1bb1eebc29061c10f54547d70#4eb520c48c1033f212d94561080322d18b60b030#fbdb8d579e4730872c327595fc74c21638a77609#a85000e7869e6d647d00417758675f84a96839b2,merge_found,,,2015-08-14T06:01:17,13,a85000e7869e6d647d00417758675f84a96839b2#fbdb8d579e4730872c327595fc74c21638a77609#4eb520c48c1033f212d94561080322d18b60b030#7650aea1e6863ae1bb1eebc29061c10f54547d70#9a0ab602c39aeef43992ef378b535ccfe6a554fc,5,a85000e7869e6d647d00417758675f84a96839b2,4eb520c48c1033f212d94561080322d18b60b030,821045231f7baec739dc810e79321cfa324f58bf,3,0,0,634,2,4,4,9,0,0,15,0,2,1081,85233,604.542841387725,19.8397334365797,42.858986542771,false,13.0,2015-09-03T05:55:41,2015-09-03T05:56:28,errored,1205,"[78522142, 78522143, 78522144]",179,78522143,java,unknown,0,java-ant,,false,,,,,,,,,false
40137850,zanata/zanata-server,false,,,java,,integration/master,1,0e095d22d321f556422e5034fbb2db56baddc71d,build_found,142b95ce1506f95f57df3b0bfcddedb9d3a8a555,40137594,2014-11-06T02:36:49,11,0e095d22d321f556422e5034fbb2db56baddc71d,1,0e095d22d321f556422e5034fbb2db56baddc71d,,0e095d22d321f556422e5034fbb2db56baddc71d,,0,,22,0,0,0,2,0,0,1,1,0,81,75821,632.81940359531,21.3661122907902,44.2093879004497,false,,2014-11-06T02:37:05,2014-11-06T02:42:40,passed,2869,"[40137851, 40137852, 40137853]",147,40137852,java,ok,,java-maven,junit,true,false,1521,0,1521,1,,100.44,391.0,true
8488726,zanata/zanata-server,true,2013-06-26T23:00:32,6,java,merge_button,integration/master,4,48dcaf682e68fe3e3ed8a51202a13cc1781afb28#8f987d8f577173404045c8d33cbfdc3d3d20fec6#02f5d3686fae11257f7ff92a999421ec2da7f42a#6b0f69a7c8ffab65cbaa208e5a0262476c3516c6,merge_found,,,2013-06-27T00:55:59,10,48dcaf682e68fe3e3ed8a51202a13cc1781afb28#ed74a327c2b749098260f7e47614c5a1264dfe01,2,48dcaf682e68fe3e3ed8a51202a13cc1781afb28,ce7928c72b5d8aa164396da2274bf87430796bce,4d340f2e2eca1bb4b1987f87abf55d46bb780cfa,2,0,0,0,643,6,0,8,0,0,10,4,0,72,63890,467.146658318986,18.0622945687901,35.248082642041,true,26.0,2013-06-28T00:56:50,2013-06-27T01:01:28,passed,1223,[8488727],20,8488727,java,ok,,java-maven,junit,true,false,1198,0,1198,0,,89.93,,true
8491387,zanata/zanata-server,false,,,java,,damason-refactor-captcha,1,0d68b7e9099db350b4e14e5b6168b34aef571bed,build_found,0a0b38348591ba7bb26c732544876614ef7ea05c,8489140,2013-06-27T03:51:34,10,0d68b7e9099db350b4e14e5b6168b34aef571bed,1,0d68b7e9099db350b4e14e5b6168b34aef571bed,,0d68b7e9099db350b4e14e5b6168b34aef571bed,,0,,27,0,0,0,0,0,0,3,0,0,0,63900,464.209702660407,18.0438184663537,35.226917057903,true,,2013-06-27T03:52:11,2013-06-27T03:52:48,passed,1368,[8491388],22,8491388,java,ok,,java-maven,junit,true,false,1198,0,1198,0,,81.94,,true
40046007,zanata/zanata-server,true,2014-11-05T09:33:29,629,java,commits_in_master,integration/master,2,4c04d9557b1470a4105cd5bf78e4bb058201d95c#18fe12b3ece7c4d9da2869b74fe6bfd163a93545,merge_found,,,2014-11-05T10:31:27,11,4c04d9557b1470a4105cd5bf78e4bb058201d95c#bca212b9b4719403130e3704e7b5769e7a3c3c2f,2,4c04d9557b1470a4105cd5bf78e4bb058201d95c,8db5803933fe2ce35ffef00bbce00633f1acbe6a,d9d2a1ea098e08ff0505d49007f96f17bb289e45,0,0,0,0,32,0,0,3,0,0,3,0,0,70,75821,632.81940359531,21.3661122907902,44.2093879004497,true,8.0,2014-11-05T11:07:51,2014-11-05T10:34:00,failed,242,"[40046008, 40046009, 40046010, 40046011]",130,40046008,java,broken,,java-maven,,false,,,,,,,0.0,235.0,false
8455398,zanata/zanata-server,false,,,java,,master,1,ce7928c72b5d8aa164396da2274bf87430796bce,merge_found,,,2013-06-26T07:52:21,10,ce7928c72b5d8aa164396da2274bf87430796bce#1fa63ac769f24ffbe0ed33131898d34c2cf511b7#a8c9e5d9b46f9b979380e8024c7d739e1d3a5716#b48bb81983108dcf406b12d5b4105118198bfa06#7edaf27fa3c8bae09774e4f2e15d82fea052085f#ed74a327c2b749098260f7e47614c5a1264dfe01,6,ce7928c72b5d8aa164396da2274bf87430796bce,,ce7928c72b5d8aa164396da2274bf87430796bce,,0,,14,375,1,1,15,0,0,13,2,2,227,63890,464.282360306777,18.0466426670841,35.2324307403349,true,,2013-06-26T07:52:27,2013-06-26T08:02:15,errored,1373,[8455399],17,8455399,java,unknown,,java-maven,,false,,,,,,,0.0,,false
